           Size      Time(sec)
              2    1.27596e-07
              4    2.09453e-07
              8    3.88135e-07
             16    8.97228e-07
             32    2.31929e-06
             64    6.61455e-06
            128    2.31279e-05
            256    8.70557e-05
            512    0.000355851
           1024     0.00146753
           2048     0.00598858
           4096       0.024121
           8192      0.0970634
          16384        0.38806

