           Size      Time(sec)
              2    9.46229e-08
              4    1.56208e-07
              8    2.42683e-07
             16    5.43871e-07
             32    1.44327e-06
             64    4.37286e-06
            128    1.63116e-05
            256    6.24365e-05
            512    0.000250095
           1024     0.00100043
           2048      0.0039963
           4096      0.0160215
           8192      0.0642899
          16384       0.257222
